state,district,q,r
AK,AL,-10,30
AL,1,11,23
AL,2,12,23
AL,3,13,23
AL,4,11,24
AL,5,12,24
AL,6,10,25
AL,7,11,25
AR,1,10,20
AR,2,11,20
AR,3,10,21
AR,4,11,21
AZ,1,-2,22
AZ,2,-1,22
AZ,3,0,22
AZ,4,-2,23
AZ,5,-1,23
AZ,6,0,23
AZ,7,-3,24
AZ,8,-2,24
AZ,9,-1,24
CA,1,-3,14
CA,2,-2,14
CA,3,-1,14
CA,4,-5,15
CA,5,-4,15
CA,6,-3,15
CA,7,-2,15
CA,8,-1,15
CA,9,0,15
CA,10,-6,16
CA,11,-5,16
CA,12,-4,16
CA,13,-3,16
CA,14,-2,16
CA,15,-1,16
CA,16,0,16
CA,17,-7,17
CA,18,-6,17
CA,19,-5,17
CA,20,-4,17
CA,21,-3,17
CA,22,-2,17
CA,23,-1,17
CA,24,0,17
CA,25,-7,18
CA,26,-6,18
CA,27,-5,18
CA,28,-4,18
CA,29,-3,18
CA,30,-2,18
CA,31,-1,18
CA,32,-8,19
CA,33,-7,19
CA,34,-6,19
CA,35,-5,19
CA,36,-4,19
CA,37,-3,19
CA,38,-2,19
CA,39,-1,19
CA,40,-8,20
CA,41,-7,20
CA,42,-6,20
CA,43,-5,20
CA,44,-4,20
CA,45,-3,20
CA,46,-2,20
CA,47,-7,21
CA,48,-6,21
CA,49,-5,21
CA,50,-4,21
CA,51,-3,21
CA,52,-6,22
CO,1,4,18
CO,2,3,19
CO,3,4,19
CO,4,5,19
CO,5,2,20
CO,6,3,20
CO,7,4,20
CO,8,3,21
CT,1,36,8
CT,2,35,9
CT,3,36,9
CT,4,37,9
CT,5,35,10
DE,AL,27,15
FL,1,13,29
FL,2,14,29
FL,3,11,30
FL,4,12,30
FL,5,13,30
FL,6,14,30
FL,7,15,30
FL,8,10,31
FL,9,11,31
FL,10,12,31
FL,11,13,31
FL,12,14,31
FL,13,15,31
FL,14,10,32
FL,15,11,32
FL,16,12,32
FL,17,13,32
FL,18,14,32
FL,19,9,33
FL,20,10,33
FL,21,11,33
FL,22,12,33
FL,23,13,33
FL,24,14,33
FL,25,9,34
FL,26,10,34
FL,27,11,34
FL,28,12,34
GA,1,15,23
GA,2,13,24
GA,3,14,24
GA,4,15,24
GA,5,16,24
GA,6,12,25
GA,7,13,25
GA,8,14,25
GA,9,15,25
GA,10,12,26
GA,11,13,26
GA,12,14,26
GA,13,15,26
GA,14,13,27
HI,1,-5,31
HI,2,-5,32
IA,1,14,11
IA,2,13,12
IA,3,14,12
IA,4,13,13
ID,1,3,5
ID,2,4,5
IL,1,15,12
IL,2,16,12
IL,3,17,12
IL,4,14,13
IL,5,15,13
IL,6,16,13
IL,7,17,13
IL,8,13,14
IL,9,14,14
IL,10,15,14
IL,11,16,14
IL,12,17,14
IL,13,13,15
IL,14,14,15
IL,15,15,15
IL,16,16,15
IL,17,14,16
IN,1,18,12
IN,2,19,12
IN,3,18,13
IN,4,19,13
IN,5,18,14
IN,6,17,15
IN,7,18,15
