state,district,pres2020_margin
AK,AL,-10.12
AL,1,-50.4
AL,2,12.4
AL,3,-40.99
AL,4,-62.13
AL,5,-27.13
AL,6,-38.02
AL,7,28.9
AR,1,-40.91
AR,2,-13.12
AR,3,-23.42
AR,4,-35.25
AZ,1,1.49
AZ,2,-7.88
AZ,3,50.63
AZ,4,10.3
AZ,5,-16.38
AZ,6,0.07
AZ,7,32.77
AZ,8,-13.53
AZ,9,-25.76
CA,1,-19.11
CA,2,49.48
CA,3,-1.8
CA,4,36.56
CA,5,-12.3
CA,6,18.42
CA,7,37.17
CA,8,54.0
CA,9,12.61
CA,10,39.37
CA,11,74.55
CA,12,80.69
CA,13,10.85
CA,14,45.46
CA,15,57.35
CA,16,53.03
CA,17,47.42
CA,18,44.07
CA,19,39.59
CA,20,-24.87
CA,21,20.31
CA,22,12.9
CA,23,-9.81
CA,24,29.05
CA,25,15.3
CA,26,19.98
CA,27,12.36
CA,28,34.19
CA,29,51.3
CA,30,46.21
CA,31,31.05
CA,32,40.78
CA,33,25.32
CA,34,64.25
CA,35,27.63
CA,36,44.1
CA,37,73.27
CA,38,30.18
CA,39,26.12
CA,40,1.87
CA,41,-1.08
CA,42,45.83
CA,43,63.79
CA,44,48.19
CA,45,6.18
CA,46,30.41
CA,47,11.08
CA,48,-12.32
CA,49,11.41
CA,50,33.14
CA,51,27.31
CA,52,36.86
CO,1,61.29
CO,2,39.87
CO,3,-8.25
CO,4,-18.55
CO,5,-10.11
CO,6,23.8
CO,7,14.17
CO,8,4.56
CT,1,28.08
CT,2,11.45
CT,3,19.72
CT,4,31.0
CT,5,10.75
DE,AL,18.98
FL,1,-32.31
FL,2,-10.99
FL,3,-14.09
FL,4,-6.69
FL,5,-15.8
FL,6,-23.67
FL,7,-5.55
FL,8,-17.64
FL,9,17.43
FL,10,31.78
FL,11,-10.88
FL,12,-28.73
FL,13,-6.75
FL,14,19.15
FL,15,-3.16
FL,16,-8.9
FL,17,-15.95
FL,18,-22.81
FL,19,-21.02
FL,20,52.37
FL,21,-9.43
FL,22,17.61
FL,23,13.22
FL,24,49.06
FL,25,19.92
FL,26,-18.32
FL,27,-0.32
FL,28,-6.35
GA,1,-13.41
GA,2,10.35
GA,3,-30.07
GA,4,57.72
GA,5,72.71
GA,6,49.46
GA,7,-19.46
GA,8,-27.62
GA,9,-32.28
GA,10,-21.24
GA,11,-21.93
GA,12,-10.15
GA,13,40.57
GA,14,-37.53
HI,1,29.43
HI,2,29.5
IA,1,-2.89
IA,2,-4.4
IA,3,-0.35
IA,4,-26.04
ID,1,-38.17
ID,2,-22.94
IL,1,42.37
IL,2,40.02
IL,3,41.42
IL,4,46.41
IL,5,39.59
IL,6,10.88
IL,7,72.83
IL,8,15.41
IL,9,41.55
IL,10,25.86
IL,11,15.3
IL,12,-42.79
IL,13,11.21
IL,14,11.46
IL,15,-38.74
IL,16,-21.51
IL,17,7.79
IN,1,8.36
IN,2,-22.57
IN,3,-29.9
IN,4,-29.14
IN,5,-15.94
IN,6,-31.93
IN,7,42.37
IN,8,-32.83
IN,9,-27.32
KS,1,-29.63
KS,2,-16.29
KS,3,4.45
KS,4,-21.75
KY,1,-42.74
KY,2,-36.74
KY,3,22.35
KY,4,-32.52
KY,5,-59.37
KY,6,-10.99
LA,1,-38.15
LA,2,35.93
LA,3,-42.28
LA,4,-49.19
LA,5,-33.73
LA,6,19.7
MA,1,21.66
MA,2,30.83
MA,3,27.41
MA,4,28.46
MA,5,51.15
MA,6,27.61
MA,7,72.45
MA,8,35.47
MA,9,18.18
MD,1,-14.53
MD,2,20.83
MD,3,25.52
MD,4,80.99
MD,5,36.48
MD,6,9.83
MD,7,63.49
MD,8,62.6
ME,1,22.8
ME,2,-6.1
MI,1,-19.78
MI,2,-28.21
MI,3,8.49
MI,4,-3.94
MI,5,-24.16
MI,6,26.67
MI,7,0.52
MI,8,2.03
MI,9,-29.45
MI,10,-0.98
MI,11,19.83
MI,12,48.54
MI,13,49.56
MN,1,-9.2
MN,2,7.18
MN,3,20.98
MN,4,37.64
MN,5,63.12
MN,6,-17.64
MN,7,-33.21
MN,8,-11.31
MO,1,58.38
MO,2,-7.75
MO,3,-26.31
MO,4,-39.35
MO,5,26.3
MO,6,-37.1
MO,7,-41.39
MO,8,-51.35
MS,1,-31.69
MS,2,26.09
MS,3,-24.33
MS,4,-37.98
MT,1,-6.88
MT,2,-26.84
NC,1,1.68
NC,2,35.34
NC,3,-17.3
NC,4,46.18
NC,5,-15.39
NC,6,-16.26
NC,7,-11.03
NC,8,-17.76
NC,9,-13.9
NC,10,-16.06
NC,11,-11.0
NC,12,50.2
NC,13,-17.25
NC,14,-16.15
ND,AL,-33.54
NE,1,-11.06
NE,2,6.33
NE,3,-51.83
NH,1,5.93
NH,2,8.83
NJ,1,24.43
NJ,2,-4.92
NJ,3,14.0
NJ,4,-22.43
NJ,5,12.4
NJ,6,19.25
NJ,7,3.86
NJ,8,45.33
NJ,9,18.9
NJ,10,62.04
