state,district,pres2024_margin,house2024_margin,incumbent_party
AK,AL,-13.14,,R
AL,1,-55.32,-56.95,R
AL,2,8.23,9.2,D
AL,3,-46.69,,R
AL,4,-66.43,,R
AL,5,-29.11,,R
AL,6,-38.55,-40.79,R
AL,7,23.36,27.44,D
AR,1,-45.29,-50.46,R
AR,2,-15.53,-17.87,R
AR,3,-24.89,-33.52,R
AR,4,-39.91,-45.82,R
AZ,1,-3.11,-3.81,R
AZ,2,-14.97,-8.97,R
AZ,3,39.75,45.49,D
AZ,4,6.67,7.42,D
AZ,5,-19.98,-20.78,R
AZ,6,-0.75,-2.57,R
AZ,7,22.13,26.9,D
AZ,8,-16.33,-13.0,R
AZ,9,-31.08,-30.6,R
CA,1,-24.95,-30.69,R
CA,10,33.78,32.95,D
CA,11,67.72,62.07,D
CA,12,73.9,,D
CA,13,-5.43,0.09,D
CA,14,35.43,35.51,D
CA,15,47.89,46.19,D
CA,16,48.52,,D
CA,17,37.9,35.33,D
CA,18,29.5,29.25,D
CA,19,34.39,38.59,D
CA,2,45.16,43.77,D
CA,20,-30.33,,R
CA,21,3.79,5.15,D
CA,22,-5.83,-6.84,R
CA,23,-16.86,-20.28,R
CA,24,25.04,25.39,D
CA,25,2.47,12.51,D
CA,26,13.16,12.11,D
CA,27,3.89,2.66,D
CA,28,26.94,29.86,D
CA,29,34.8,39.55,D
CA,3,-3.82,-10.93,R
CA,30,41.06,36.75,D
CA,31,16.9,19.46,D
CA,32,31.35,32.4,D
CA,33,8.73,17.63,D
CA,34,50.64,,D
CA,35,10.27,16.81,D
CA,36,39.11,37.44,D
CA,37,60.39,,D
CA,38,16.08,19.68,D
CA,39,9.69,13.38,D
CA,4,31.22,32.91,D
CA,40,-2.32,-10.52,R
CA,41,-5.93,-3.38,R
CA,42,32.43,36.28,D
CA,43,48.96,50.15,D
CA,44,33.82,42.75,D
CA,45,1.54,0.21,D
CA,46,17.73,26.85,D
CA,47,4.17,2.88,D
CA,48,-15.31,-18.59,R
CA,49,7.76,4.35,D
CA,5,-17.71,-23.53,R
CA,50,29.56,28.55,D
CA,51,23.5,21.39,D
CA,52,21.19,32.62,D
CA,6,13.87,15.24,D
CA,7,29.75,33.5,D
CA,8,43.58,47.94,D
CA,9,-1.78,3.58,D
CO,1,56.07,56.02,D
CO,2,39.78,40.52,D
CO,3,-9.73,-5.16,R
CO,4,-18.25,-12.13,R
CO,5,-9.08,-14.44,R
CO,6,19.78,21.06,D
CO,7,14.98,14.7,D
CO,8,-1.83,-0.76,R
CT,1,22.88,26.44,D
CT,2,7.73,16.03,D
CT,3,14.06,19.64,D
CT,4,23.36,24.1,D
CT,5,5.59,4.28,D
DE,AL,14.74,,D
FL,1,-37.2,-32.07,R
FL,10,22.71,24.75,D
FL,11,-16.26,-20.75,R
FL,12,-34.58,-42.08,R
FL,13,-11.86,-9.65,R
FL,14,7.67,15.59,D
FL,15,-11.19,-12.36,R
FL,16,-15.47,-18.96,R
FL,17,-23.95,-27.81,R
FL,18,-29.4,-30.61,R
FL,19,-29.17,-32.63,R
FL,2,-18.0,-23.28,R
FL,20,39.61,,D
FL,21,-16.56,-23.65,R
FL,22,5.57,9.91,D
FL,23,1.91,4.89,D
FL,24,30.05,36.48,D
FL,25,5.33,8.96,D
FL,26,-34.97,-41.83,R
FL,27,-14.66,-20.75,R
FL,28,-25.4,-29.13,R
FL,3,-21.12,-23.22,R
FL,4,-11.84,-14.54,R
FL,5,-21.43,-26.15,R
FL,6,-30.09,-33.07,R
FL,7,-12.48,-13.05,R
FL,8,-22.34,-24.48,R
FL,9,3.51,12.85,D
GA,1,-15.81,-23.97,R
GA,10,-20.78,-26.1,R
GA,11,-23.34,-34.62,R
GA,12,-14.16,-20.64,R
GA,13,42.33,43.67,D
GA,14,-36.78,-28.74,R
GA,2,7.62,12.66,D
GA,3,-29.7,-32.61,R
GA,4,52.47,51.17,D
GA,5,71.59,71.36,D
GA,6,49.94,49.37,D
GA,7,-22.06,-29.7,R
GA,8,-30.59,-37.83,R
GA,9,-34.08,-38.01,R
HI,1,24.73,43.68,D
HI,2,21.59,37.56,D
IA,1,-8.47,-0.19,R
IA,2,-9.99,-15.78,R
IA,3,-4.41,-3.83,R
IA,4,-31.48,-34.44,R
ID,1,-45.07,-47.23,R
ID,2,-26.73,-32.92,R
IL,1,32.05,31.7,D
IL,10,22.05,19.96,D
IL,11,11.43,11.18,D
IL,12,-43.42,-48.39,R
IL,13,10.47,16.23,D
IL,14,5.19,10.21,D
IL,15,-39.75,,R
IL,16,-22.68,,R
IL,17,4.74,8.85,D
IL,2,33.12,35.12,D
IL,3,31.39,34.58,D
IL,4,28.33,42.43,D
IL,5,37.12,37.94,D
IL,6,5.49,8.42,D
IL,7,65.39,66.59,D
IL,8,6.91,14.11,D
IL,9,36.57,36.78,D
IN,1,0.4,8.63,D
IN,2,-26.5,-28.9,R
IN,3,-31.19,-34.87,R
IN,4,-29.34,-35.4,R
IN,5,-16.81,-19.64,R
IN,6,-32.52,-33.7,R
IN,7,41.46,40.48,D
IN,8,-35.88,-39.53,R
IN,9,-29.88,-32.56,R
KS,1,-31.27,-38.27,R
KS,2,-19.67,-19.81,R
KS,3,4.1,11.21,D
KS,4,-23.29,-30.1,R
KY,1,-47.3,-49.43,R
KY,2,-41.33,-46.2,R
KY,3,18.94,23.91,D
KY,4,-35.56,,R
KY,5,-63.88,,R
KY,6,-15.03,-26.07,R
LA,1,-37.92,-47.09,R
LA,2,31.38,63.09,D
LA,3,-44.78,-58.17,R
