cycle,state,district,dem_pct,rep_pct,dem_margin,winner
2022,PA,3,95.14,0.0,100.0,D
2022,PA,5,65.08,34.92,30.16,D
2022,PA,10,46.17,53.83,-7.67,R
2022,CT,1,59.4,37.52,22.58,D
2022,CT,4,59.41,39.53,20.09,D
2022,CT,5,48.81,48.62,0.19,D
2022,IN,1,52.84,47.16,5.68,D
2022,IN,3,30.06,65.29,-36.95,R
2022,IN,8,31.53,65.73,-35.17,R
2022,NY,7,64.49,17.77,56.8,D
2022,ME,1,62.93,37.02,25.93,D
2022,NY,12,75.12,16.66,63.7,D
2022,NY,14,63.4,27.34,39.74,D
2022,NY,20,50.07,38.05,13.64,D
2022,NY,21,39.51,52.82,-14.42,R
2022,NY,24,34.27,56.39,-24.39,R
2022,TN,3,30.19,68.38,-38.74,R
2022,IA,1,46.56,53.36,-6.81,R
2022,IA,2,45.84,54.08,-8.25,R
2022,IA,3,49.57,50.26,-0.69,R
2022,IA,4,30.41,67.31,-37.77,R
2022,CA,4,67.8,32.2,35.6,D
2022,CA,6,55.95,44.05,11.89,D
2022,CA,7,68.26,31.74,36.52,D
2022,CA,14,69.34,30.66,38.68,D
2022,CA,32,69.17,30.83,38.34,D
2022,CA,34,51.24,0.0,100.0,D
2022,CA,35,57.36,42.64,14.73,D
2022,CA,36,69.75,30.25,39.5,D
2022,CA,38,58.09,41.91,16.18,D
2022,CA,51,61.86,38.14,23.73,D
2022,CA,52,66.67,0.0,100.0,D
2022,LA,3,10.53,64.32,-71.87,R
2022,NY,9,69.36,0.0,100.0,D
2022,MI,4,42.47,54.36,-12.28,R
2022,MI,1,37.42,59.98,-23.17,R
2022,MA,8,69.7,30.13,39.64,D
2022,MA,4,96.93,0.0,100.0,D
2022,MA,3,63.5,36.41,27.11,D
2022,MA,2,66.2,33.7,32.53,D
2022,KS,1,32.33,67.67,-35.33,R
2022,LA,5,15.72,67.58,-62.25,R
2022,GA,5,82.48,17.52,64.96,D
2022,GA,2,54.97,45.03,9.95,D
2022,GA,1,40.85,59.15,-18.29,R
2022,AR,3,32.89,63.69,-31.89,R
2022,AL,3,25.14,71.22,-47.83,R
2022,AL,2,29.16,69.09,-40.64,R
2022,AL,1,0.0,83.61,-100.0,R
2022,OR,3,69.93,26.3,45.34,D
2022,OR,2,32.36,67.5,-35.19,R
2022,OR,1,67.91,31.92,36.04,D
2022,WV,1,28.8,66.69,-39.68,R
2022,VA,7,52.21,47.56,4.66,D
2022,MT,1,46.49,49.65,-3.29,R
2022,VA,6,35.44,64.39,-29.0,R
2022,NY,6,63.89,33.25,31.54,D
2022,VA,3,67.19,32.56,34.72,D
2022,VA,1,42.96,55.97,-13.15,R
2022,OH,7,44.63,55.34,-10.71,R
2022,OH,3,70.45,29.54,40.91,D
2022,WA,10,56.97,42.87,14.13,D
2022,OR,5,48.83,50.91,-2.08,R
2022,OR,4,50.54,43.07,7.98,D
2022,WA,8,53.27,46.42,6.87,D
2022,LA,2,77.11,22.89,54.23,D
2022,WA,6,60.0,39.89,20.13,D
2022,NJ,10,77.6,20.09,58.87,D
2022,NJ,9,54.93,43.63,11.47,D
2022,NJ,8,72.88,24.22,50.11,D
2022,NJ,6,57.45,41.01,16.7,D
2022,NJ,4,31.37,66.92,-36.17,R
2022,ND,1,0.0,62.2,-100.0,R
2022,NM,3,58.16,41.84,16.31,D
