cycle,state,seat,dem_margin,winner
2012,VT,Class I,-100.0,R
2012,WV,Class I,24.83,D
2012,WY,Class I,-55.5,R
2012,MS,Class I,-16.99,R
2012,DE,Class I,39.28,D
2012,TN,Class I,-36.19,R
2012,CT,Class I,13.48,D
2012,FL,Class I,13.35,D
2012,IN,Class I,6.11,D
2012,MD,Class I,36.02,D
2012,MI,Class I,21.51,D
2012,MO,Class I,16.72,D
2012,NJ,Class I,19.84,D
2012,NM,Class I,5.95,D
2012,NY,Class I,48.96,D
2012,PA,Class I,9.26,D
2012,UT,Class I,-37.08,R
2012,AZ,Class I,-3.17,R
2012,TX,Class I,-16.31,R
2012,VA,Class I,5.92,D
2012,WA,Class I,20.9,D
2012,WI,Class I,5.7,D
2012,CA,Class I,25.05,D
2012,HI,Class I,25.2,D
2012,ME,Class I,-39.73,R
2012,MA,Class I,7.55,D
2012,MN,Class I,36.24,D
2012,MT,Class I,3.98,D
2012,NE,Class I,-15.55,R
2012,NV,Class I,-1.28,R
2012,ND,Class I,0.92,D
2012,OH,Class I,6.29,D
2012,RI,Class I,29.91,D
2014,LA,Class II,-11.87,R
2014,CO,Class II,-2.06,R
2014,DE,Class II,13.87,D
2014,GA,Class II,-7.83,R
2014,ID,Class II,-30.66,R
2014,IL,Class II,11.28,D
2014,IA,Class II,-8.7,R
2014,KS,Class II,-100.0,R
2014,KY,Class II,-15.96,R
2014,MT,Class II,-18.11,R
2014,NE,Class II,-34.28,R
2014,ME,Class II,-36.98,R
2014,NJ,Class II,13.76,D
2014,NH,Class II,3.26,D
2014,WV,Class II,-28.63,R
2014,VA,Class II,0.83,D
2014,TX,Class II,-28.35,R
2014,TN,Class II,-32.01,R
2014,SD,Class II,-26.11,R
2014,SC,Class II,-19.14,R
2014,RI,Class II,41.41,D
2014,OR,Class II,20.37,D
2014,OK,Class II,-40.87,R
2014,NC,Class II,-1.63,R
2014,NM,Class II,11.12,D
2014,MS,Class II,-22.5,R
2014,MN,Class II,10.66,D
2014,MI,Class II,13.85,D
2014,AL,Class II,-100.0,R
2014,AK,Class II,-2.27,R
2014,AR,Class II,-17.79,R
2014,WY,Class II,-61.07,R
2014,MA,Class II,23.92,D
2016,LA,Class III,-21.31,R
2016,VT,Class III,29.95,D
2016,WA,Class III,18.03,D
2016,WI,Class III,-3.47,R
2016,CO,Class III,6.01,D
